Year,Player Name,Club
1994,Greg Williams,Carlton
1994,Gavin Brown,Collingwood
1994,Gary Ablett snr,Geelong
1994,Garry Hocking,Geelong
1994,Michael Mansfield,Geelong
1994,Ben Allan,Hawthorn
1994,Jason Dunstall,Hawthorn
1994,Chris Langford,Hawthorn
1994,Garry Lyon,Melbourne
1994,Stephen Tingay,Melbourne
1994,Wayne Carey,North Melbourne
1994,Robert Harvey,St Kilda
1994,David Hart,West Coast
1994,Glen Jakovich,West Coast
1994,Peter Matera,West Coast
1994,Guy McKenna,West Coast
1993,Greg Anderson,Adelaide
1993,Ben Hart,Adelaide
1993,Tony McGuinness,Adelaide
1993,Tony Modra,Adelaide
1993,Nigel Smart,Adelaide
1993,Craig Bradley,Carlton
1993,Andrew McKay,Carlton
1993,Greg Williams,Carlton
1993,Mark Harvey,Essendon
1993,Gavin Wanganeen,Essendon
1993,Alastair Lynch,Fitzroy
1993,Gary Ablett snr,Geelong
1993,Garry Hocking,Geelong
1993,Ben Allan,Hawthorn
1993,Garry Lyon,Melbourne
1993,Jim Stynes,Melbourne
1993,Wayne Carey,North Melbourne
1993,Nathan Burke,St Kilda
1993,Peter Matera,West Coast
1993,Guy McKenna,West Coast
1992,Ben Hart,Adelaide
1992,Chris McDermott,Adelaide
1992,Tony McGuinness,Adelaide
1992,Mil Hanna,Carlton
1992,Stephen Kernahan,Carlton
1992,Mick McGuane,Collingwood
1992,Gavin Wanganeen,Essendon
1992,Paul Roos*,Fitzroy
1992,Scott Wynd,Footscray
1992,Gary Ablett snr,Geelong
1992,Mark Bairstow,Geelong
1992,Ken Hinkley,Geelong
1992,Barry Stoneham,Geelong
1992,Jason Dunstall,Hawthorn
1992,Darren Jarman,Hawthorn
1992,John Platten,Hawthorn
1992,Robert Harvey,St Kilda
1992,Tony Lockett,St Kilda
1992,Stewart Loewe,St Kilda
1992,Dean Kemp,West Coast
1991,Nigel Smart,Adelaide
1991,Gavin Brown,Collingwood
1991,Tony Francis,Collingwood
1991,Anthony Daniher,Essendon
1991,Paul Roos*,Fitzroy
1991,Mark Bairstow,Geelong
1991,Billy Brownless,Geelong
1991,Paul Couch,Geelong
1991,Ken Hinkley,Geelong
1991,Garry Hocking,Geelong
1991,Jim Stynes,Melbourne
1991,David Grant,St Kilda
1991,Tony Lockett,St Kilda
1991,Stewart Loewe,St Kilda
1991,Nicky Winmar,St Kilda
1991,Barry Mitchell,Sydney Swans
1991,Chris Mainwaring,West Coast
1991,Peter Matera,West Coast
1991,Guy McKenna,West Coast
1991,Craig Turley,West Coast
1990,Stephen Kernahan,Carlton
1990,Stephen Silvagni,Carlton
1990,Peter Daicos,Collingwood
1990,Mick McGuane,Collingwood
1990,Darren Millane,Collingwood
1990,Scott Russell,Collingwood
1990,Tony Shaw,Collingwood
1990,Graham Wright,Collingwood
1990,Simon Madden,Essendon
1990,Gary O'Donnell,Essendon
1990,Mark Thompson,Essendon
1990,Tony Liberatore,Footscray
1990,Tony McGuinness,Footscray
1990,Gary Ablett snr,Geelong
1990,Andrew Collins,Hawthorn
1990,Michael Tuck,Hawthorn
1990,Brett Lovett,Melbourne
1990,Garry Lyon,Melbourne
1990,John Longmire,North Melbourne
1990,Stewart Loewe,St Kilda
1990,Chris Lewis,West Coast
1990,John Worsfold,West Coast
1989,Stephen Kernahan,Carlton
1989,Gavin Brown,Collingwood
1989,Terry Daniher,Essendon
1989,Simon Madden,Essendon
1989,Tim Watson,Essendon
1989,Gary Pert,Fitzroy
1989,Gary Ablett snr,Geelong
1989,Mark Bairstow,Geelong
1989,Andrew Bews,Geelong
1989,Paul Couch,Geelong
1989,Barry Stoneham,Geelong
1989,Jason Dunstall,Hawthorn
1989,Chris Langford,Hawthorn
1989,John Platten,Hawthorn
1989,Darrin Pritchard,Hawthorn
1989,Alan Johnson,Melbourne
1989,Brett Lovett,Melbourne
1989,Garry Lyon,Melbourne
1989,Nicky Winmar,St Kilda
1989,Mark Bayes,Sydney Swans
1989,Greg Williams,Sydney Swans
1989,Guy McKenna,West Coast
1988,Mark Mickan*,Brisbane Bears
1988,Craig Bradley,Carlton
1988,Stephen Kernahan,Carlton
1988,Stephen Kernahan*,Carlton
1988,Stephen Silvagni,Carlton
1988,Peter Daicos,Collingwood
1988,Shane Morwood,Collingwood
1988,Terry Daniher*,Essendon
1988,Simon Madden,Essendon
1988,Simon Madden*,Essendon
1988,Paul Salmon*,Essendon
1988,Darren Kappler,Fitzroy
1988,Paul Roos*,Fitzroy
1988,Tony McGuinness*,Footscray
